Legacy_Code	Banner_Org	Deptname	deptFullName	directoryDisplayName	directorySortName	Name	Address	Address2	Mailcode	buildingCode	city	state	zip	areaCode	Phone	NetId	CIP	Comments	DeptType	Dean	Duplicate	Active	Campus	College	CollegeName	AdminRollup	School	Dept	URL	directoryDisplay	
10645	1D1-NP-NP0-231	IGB	Carl R. Woese Institute for Genomic Biology	Carl R. Woese Institute for Genomic Biology	Carl R. Woese Institute for Genomic Biology	Lisa Ainsworth	1608 IGB	1206 W. Gregory	195	1080	Urbana	IL	61801	217	244-3034	ainswort	90.2608	Interim	3	F	F	Y	1	NP	OVCRI Institutes	D1	NP0	231	http://www.igb.illinois.edu/	True	
10648	1D1-NE-NE0-877	Division of Research Safety	Division of Research Safety	Division of Research Safety	Research Safety, Division of	Stephanie T. Hess	102 EHS Bldg.	101 S. Gregory	225	213	Urbana	IL	61801-3070	217	333-2755	sthess			8	F	F	Y	1	NE	VC for Research and Innovation	D1	NE0	877	http://www.drs.illinois.edu/	True	
10672	1D1-NE-NE0-959	EnterpriseWorks	EnterpriseWorks Business Incubator	EnterpriseWorks Business Incubator	Enterprise Works	Laura Appenzeller	114 EnterpriseWorks	60 Hazelwood Drive	659	1095	Champaign	IL	61820	217	333-8324	lfrerich			8	F	F	Y	1	NE	VC for Research and Innovation	D1	NE0	959	http://researchpark.illinois.edu/	True	
10676	1D1-NE-NE0-344	Protection of Research Subject	Office for the Protection of Research Subjects	Office for the Protection of Research Subjects	Research Subject, Protection of	Sarah Mumford	1901 S. First St. Suite A		685		Champaign	IL	61820	217	333-2670	smumford			8	F	F	Y	1	NE	VC for Research and Innovation	D1	NE0	344	https://oprs.research.illinois.edu/	True	
10677	1D1-NE-NE0-409	Office of Animal Research Comp	Office of Animal Research Compliance	Office of Animal Research Compliance	animal Research Compliance, Office of	Jennifer Tompkins	901 S. Mathews		194	33	Urbana	IL	61801-3609	217	333-7789	jlt11			8	F	F	Y	1	NE	VC for Research and Innovation	D1	NE0	409	https://animalcare.illinois.edu/about/institutional-animal-care-and-use-committee	True	
10680	1D1-NP-NP1-547	IL State Geological Survey	Illinois State Geological Survey	Illinois State Geological Survey	Illinois State Geological Survey	Steven Brown	121 Natural Resources Bldg	615 E. Peabody	650	109	Champaign	IL	61820-6918	217	333-4747	steebrow	90.0301		4	F	F	Y	1	NP	OVCRI Institutes	D1	NP1	547	http://isgs.illinois.edu/	True	
10682	1D1-NP-NP1-375	IL Natural History Survey	Illinois Natural History Survey	Illinois Natural History Survey	Illinois Natural History Survey	Michael Dreslik	1816 S. Oak St.		652	109	Champaign	IL	61820	217	333-6880	dreslik	90.0301		4	F	F	Y	1	NP	OVCRI Institutes	D1	NP1	375	http://www.inhs.illinois.edu/	True	
10684	1D1-NP-NP1-740	IL State Water Survey	Illinois State Water Survey	Illinois State Water Survey	Illinois State Water Survey	Jenna Shelton	Water Survey Research Center	2204 Griffith Drive	674	1073	Champaign	IL	61820	217	333-2210	jshelto2	90.0301		4	F	F	Y	1	NP	OVCRI Institutes	D1	NP1	740	http://www.isws.illinois.edu/	True	
10685	1D1-NP-NP1-807	IL Sustainable Technology Ctr	Illinois Sustainable Technology Center	Illinois Sustainable Technology Center	Illinois Sustainable Technology Center	Kevin O'Brien	1 E. Hazelwood		676	206	Champaign	IL	61820-7465	217	333-8940	kcobrien	90.0301		4	F	F	Y	1	NP	OVCRI Institutes	D1	NP1	807	http://www.istc.illinois.edu/	True	
10705	1Z1-NG-NG0-236	General & Unassigned	General	General	General							IL							9	F	F	Y	1	NG	Misc Admin Units	Z1	NG0	236		False	
10708	1Z1-NG-NG0-376	Campus Insurance Coverage	Campus Insurance Coverage	Campus Insurance Coverage	Campus Insurance Coverage							IL							9	F	F	Y	1	NG	Misc Admin Units	Z1	NG0	376		False	
10711	1Z1-NG-NG0-813	Development & Foundation Svcs	Development and Foundation Services	Development and Foundation Services	Development and Foundation Svcs							IL							9	F	F	Y	1	NG	Misc Admin Units	Z1	NG0	813		False	
10770	1Z1-NG-NG0-467	Leasehold	Leasehold Rentals	Leasehold Rentals	Leasehold Rentals							IL							8	F	F	Y	1	NG	Misc Admin Units	Z1	NG0	467		False	
10787	1Z1-NG-NG0-769	Memorial Stadium	Memorial Stadium	Memorial Stadium	Memorial Stadium							IL							9	F	F	Y	1	NG	Misc Admin Units	Z1	NG0	769	http://fightingillini.fansonly.com/trads/ill-trads-memorial.htm	False	
10794	1Z1-NG-NG0-753	Medicare	Medicare	Medicare	Medicare							IL							9	F	F	Y	1	NG	Misc Admin Units	Z1	NG0	753		False	
10795	1Z1-NG-NG0-503	Worker's Compensation	Workers' Compensation	Workers' Compensation	Workers' Compensation							IL		217	333-1080				9	F	F	Y	1	NG	Misc Admin Units	Z1	NG0	503	http://www.obfs.uillinois.edu/risk/compensation.shtml	False	
10804	1H1-NL-NL0-611	Illini Center	Illini Center	Illini Center	Illini Center	Min-aha Beeck	200 S. Wacker Drive, Lobby		200	540	Chicago	IL	60606	312	575-7800	mbeeck		(312) Area Code	8	F	F	Y	1	NL	VC Finance and Administration	H1	NL0	611	http://www.illinicenter.illinois.edu/	True	
10901	1E1-NJ-NJ0-825	VC Student Affairs	Office of the Vice Chancellor for Student Affairs	Office of the Vice Chancellor for Student Affairs	Student Affairs	Danita Brown Young	121 Swanlund Admin Bldg.	601 E. John	304	193	Champaign	IL	61820-5711	217	333-1300	dbyoung			8	T	F	Y	1	NJ	Vice Chanc Student Affairs	E1	NJ0	825	http://studentaffairs.illinois.edu/	True	
10921	1E1-NJ-NJ0-459	Student Success, Incl & Belong	Student Success, Inclusion, and Belonging	Student Success, Inclusion, and Belonging	Student Success, Inclusion, and Belonging	Domonic Cobb	300 Student Services	610 E. John	306	188	Champaign	IL	61820-5717	217	333-2121	dcobb			8	F	F	Y	1	NJ	Vice Chanc Student Affairs	E1	NJ0	459	https://ssib.illinois.edu/	True	
10925	1E1-NJ-NJ0-743	Jeffries Ctr Acces and AcadSuc	Michael L. Jeffries, Sr. Center for Access and Academic Success	The Jeffries Center	Michael L. Jeffries, Sr. Center for Access and Academic Success	K. Alexander-Brown	130 Student Services	610 E. John	306	188	Champaign	IL	61820-5717	217	333-0054	kalexand		Interim	8	F	F	Y	1	NJ	Vice Chanc Student Affairs	E1	NJ0	743	http://www.omsa.illinois.edu/	True	
10951	1E1-NJ-NJ0-391	The Career Center	The Career Center	The Career Center	Career Center	Jennifer Neef	715 S. Wright		383	71	Champaign	IL	61820-5710	217	333-0820	jneef			8	F	T	Y	1	NJ	Vice Chanc Student Affairs	E1	NJ0	391	http://www.careercenter.illinois.edu/	True	
10961	1E1-NJ-NJ0-573	Student Conflict Resolution	Office for Student Conflict Resolution	Office for Student Conflict Resolution	Student Conflict Resolution, Office for	Stephen P. Bryan	409 Student Services	610 E. John	306	188	Champaign	IL	61820-5717	217	333-3680	spbryan			8	F	F	Y	1	NJ	Vice Chanc Student Affairs	E1	NJ0	573	http://www.conflictresolution.illinois.edu/	True	
10965	1E1-NJ-NJ0-695	Counseling Center	Counseling Center	Counseling Center	Counseling Center	Carla McCowan	212 Student Services	610 E. John	306	188	Champaign	IL	61820-5717	217	333-3704	cmccowan			8	F	F	Y	1	NJ	Vice Chanc Student Affairs	E1	NJ0	695	http://www.counselingcenter.illinois.edu/	True	
10971	1B2-NB-NB1-678	Student Financial Aid	Office of Student Financial Aid	Office of Student Financial Aid	Financial Aid, Office of Student	Michelle Trame	620 E. John	620 E. John	303	71	Champaign	IL	61820-5717	217	333-0100	mtrame			8	F	F	Y	1	NB	Provost & Executive VC	B2	NB1	678	http://www.osfa.illinois.edu/	True	
11021	1E1-NQ-NQ0-551	McKinley Health Center	McKinley Health Center	McKinley Health Center	33	Awais Vaid	McKinley Health Cntr	1109 S. Lincoln	026	3	Urbana	IL	61801-4703	217	333-2700	awaisv			8	F	F	Y	1	NQ	Auxiliary Units	E1	NQ0	551	http://www.mckinley.illinois.edu/	True	
11220	1A1-NA-NA2-504	Employee Dev and Learning	Employee Development and Learning	Employee Development and Learning	Employee Development and Learning	Rebecca Hinrichs	505 E. Green St., Suite 204		440	353	Champaign	IL	61820-5723	217	333-8342	rh32			8	F	F	Y	1	NA	Chancellor	A1	NA2	504	http://humanresources.illinois.edu/	True	
11230	1A1-NA-NA2-980	Faculty/Staff Assistance Svcs	Faculty/Staff Assistance Services	Faculty/Staff Assistance Services	Faculty/Staff Assistance Services	Christopher M. Ochs	1011 W. Springfield		255	1091	Urbana	IL	61801-2440	217	244-5312	cochs			8	F	F	Y	1	NA	Chancellor	A1	NA2	980	http://humanresources.illinois.edu/	True	
11401	1A1-NA-NA1-665	Office of Public Engagement	Office of Public Engagement	Office of Public Engagement	Public Engagement, Office of	Wanda E. Ward	504 Swanlund Admin Bldg.	601 E. John	304	193	Champaign	IL	61820-5711	217	333-3378	weward			8	F	F	Y	1	NA	Chancellor	A1	NA1	665	https://publicengagement.illinois.edu/	True	
11445	1H1-NL-NL0-693	Willard Airport Commercial Op	Willard Airport Commercial Operations	Willard Airport Commercial Operations	Willard Airport, University of Illinois	Timothy A. Bannon	Willard Airport	11 Airport Road	394	675	Savoy	IL	61874	217	244-8604	tbannon1			8	F	T	Y	1	NL	VC Finance and Administration	H1	NL0	693	http://www.iflycu.com/	True	
11501	1B1-KL-KL0-483	Agr, Consumer, & Env Sci Admn	College of Agricultural, Consumer and Environmental Sciences Administration	College of Agricultural, Consumer and Environmental Sciences	Agricultural, Consumer and Environmental Sciences, College of	German Bollero	227 Mumford Hall	1301 W. Gregory	710	69	Urbana	IL	61801-9015	217	333-0460	gbollero	01.0000		2	T	F	Y	1	KL	Agr, Consumer, & Env Sciences	B1	KL0	483	https://aces.illinois.edu/	True	
11502	1B1-KL-KL0-452	Agr, Consumer, & Env Sci Gen	College of Agricultural, Consumer and Environmental Sciences Administration General Expenses	College of Agricultural, Consumer and Environmental Sciences Administration General Expenses	Agricultural, Consumer and Environmental Sciences, General Information	German Bollero	227 Mumford Hall	1301 W. Gregory	710	69	Urbana	IL	61801-9015	217	333-0461	gbollero	01.0000		9	F	T	Y	1	KL	Agr, Consumer, & Env Sciences	B1	KL0	452	http://www.aces.illinois.edu/	False	
11504	1B1-KL-KL0-348	ACES Technology Services	ACES Technology Services	ACES Technology Services	ACES Technology Services	German Bollero	47 Mumford Hall	1301 W. Gregory Dr.	710	69	Urbana	IL	61801-9015	217	244-0477	gbollero	01.0000		8	F	F	Y	1	KL	Agr, Consumer, & Env Sciences	B1	KL0	348	http://it.aces.illinois.edu/	True	
11505	1B1-KL-KL0-470	Agr & Consumer Economics	Department of Agricultural and Consumer Economics	Department of Agricultural and Consumer Economics	Agricultural and Consumer Economics, Department of	Sarah Low	326 Mumford Hall	1301 W. Gregory	710	69	Urbana	IL	61801-9015	217	333-1810	salow2	01.0102		1	F	F	Y	1	KL	Agr, Consumer, & Env Sciences	B1	KL0	470	https://ace.illinois.edu	True	
11510	1B1-KL-KL0-741	Agricultural & Biological Engr	Department of Agricultural and Biological Engineering	Department of Agricultural and Biological Engineering	Agricultural and Biological Engineering, Department of	Ronaldo Maghirang	338 Agr Engr Sci Bldg	1304 W. Pennsylvania	644	8	Urbana	IL	61801-4713	217	333-3570	ronaldom	14.0301		1	F	F	Y	1	KL	Agr, Consumer, & Env Sciences	B1	KL0	741	http://abe.illinois.edu/	True	
11513	1B1-KL-KL0-306	Agr, Consumer, & Env Sciences	Agricultural, Consumer and Environmental Sciences Courses	Agricultural, Consumer and Environmental Sciences	Agricultural, Consumer and Environmental Sciences	Anna Ball	227 Mumford Hall	1301 W. Gregory	710	69	Urbana	IL	61801-9015	217	333-0460	aball	01.0000		7	F	T	Y	1	KL	Agr, Consumer, & Env Sciences	B1	KL0	306	http://www.aces.illinois.edu/	False	
11515	1B1-KL-KL0-802	Crop Sciences	Department of Crop Sciences	Department of Crop Sciences	Crop Sciences, Department of	Adam Davis	AW-101 Turner Hall	1102 S. Goodwin	046	197	Urbana	IL	61801-4730	217	333-3420	asdavis1	01.1102		1	F	F	Y	1	KL	Agr, Consumer, & Env Sciences	B1	KL0	802	http://cropsciences.illinois.edu	True	
11525	1B1-KL-KL0-384	Cooperative Extension	Cooperative Extension Service	University of Illinois Extension	University of Illinois Extension	Matthew C. Vann	101 Mumford Hall	1301 W. Gregory	710	69	Urbana	IL	61801-9015	217	333-5900	mcvann	02.0102		S	F	T	Y	1	KL	Agr, Consumer, & Env Sciences	B1	KL0	384	http://www.extension.illinois.edu/	True	
11535	1B1-KL-KL0-538	Animal Sciences	Department of Animal Sciences	Department of Animal Sciences	Animal Sciences, Department of	Daniel Shike	116 Animal Science Laboratory	1207 W. Gregory	630	165	Urbana	IL	61801-4733	217	333-3131	dshike	01.0901		1	F	F	Y	1	KL	Agr, Consumer, & Env Sciences	B1	KL0	538	http://ansc.illinois.edu/	True	
11545	1B1-KL-KL0-793	Human Dvlpmt & Family Studies	Department of Human Development and Family Studies	Department of Human Development and Family Studies	Human Development & Family Studies, Department of	Ramona Oswald	222 Bevier Hall	905 S. Goodwin	180	158	Urbana	IL	61801-3898	217	333-3790	roswald	19.0707		1	F	F	Y	1	KL	Agr, Consumer, & Env Sciences	B1	KL0	793	http://hdfs.illinois.edu/	True	
11550	1B1-KL-KL0-698	Food Science & Human Nutrition	Department of Food Science and Human Nutrition	Department of Food Science and Human Nutrition	Food Science and Human Nutrition, Department of	Nicki Engeseth	260 Bevier Hall	905 S. Goodwin	182	158	Urbana	IL	61801-3882	217	244-4498	engeseth	19.0501		1	F	F	Y	1	KL	Agr, Consumer, & Env Sciences	B1	KL0	698	http://fshn.illinois.edu/	True	
11565	1B1-KL-KL0-875	Natural Res & Env Sci	Department of Natural Resources and Environmental Sciences	Department of Natural Resources and Environmental Sciences	Natural Resources and Environmental Sciences, Department of	Robert L. Schooley	W-503 Turner Hall	1102 S. Goodwin	047	197	Urbana	IL	61801-4730	217	333-2770	schooley	03.9999		1	F	F	Y	1	KL	Agr, Consumer, & Env Sciences	B1	KL0	875	http://nres.illinois.edu/	True	
11567	1B1-KL-KL0-971	Nutritional Sciences	Nutritional Sciences	Nutritional Sciences	Nutritional Sciences Interdisciplinary Graduate Program, Division of	Kelly S. Swanson	449 Bevier Hall	905 S. Goodwin	186	158	Urbana	IL	61801-3816	217	333-4177	ksswanso	30.1901		G	F	F	Y	1	KL	Agr, Consumer, & Env Sciences	B1	KL0	971	http://www.nutrsci.illinois.edu/	True	
11570	1B1-LC-LC0-888	Veterinary Prog in Agr	Veterinary Program in Agriculture	Veterinary Program in Agriculture	Veterinary Program in Agriculture	Peter Constable	3505 VMBSB	2001 S. Lincoln	002	350	Urbana	IL	61802-6178	217	333-2760	constabl	01.0801		P	F	T	Y	1	LC	Veterinary Medicine	B1	LC0	888	http://vetmed.illinois.edu/	True	
11580	1B1-KL-KL0-416	Agricultural Buildings, O & M	Agricultural Buildings, Operation and Maintenance	Agricultural Buildings, Operation and Maintenance	Agricultural Buildings, Operation and Maintenance	German Bollero	227 Mumford Hall	1301 W. Gregory	710	69	Urbana	IL	61801-9015	217	333-0460	gbollero		Interim	8	F	T	Y	1	KL	Agr, Consumer, & Env Sciences	B1	KL0	416	http://www.aces.illinois.edu/	True	
11701	1B1-KM-KM0-952	Gies College of Business	Gies College of Business Administration	Gies College of Business	Business, Gies College of	Brooke Elliott	260 Wohlers	1206 S. Sixth Street	706	159	Champaign	IL	61820	217	333-2747	wbe	52.0101		2	T	F	Y	1	KM	Gies College of Business	B1	KM0	952	http://www.business.illinois.edu/	True	
11702	1B1-KM-KM0-432	Gies Business General	Gies College of Business General Expenses	Gies College of Business General Expenses	Business General Information, Gies College of	Shelley Campbell	260 Wohlers	1206 S. Sixth Street	706	159	Champaign	IL	61820	217	244-3309	scampbe2	52.0101		9	F	T	Y	1	KM	Gies College of Business	B1	KM0	432	http://www.business.illinois.edu/	False	
11703	1B1-KM-KM0-979	Student & Corporate Connection	Gies Student and Corporate Connections	Gies Student and Corporate Connections	Student and Corporate Connections, Gies College of	Andrew Allen	1033 Bus Inst. Facility-BIF	515 E. Gregory	520	1206	Champaign	IL	61820	217	333-2840	andrewa	52.0101		8	F	F	Y	1	KM	Gies College of Business	B1	KM0	979	http://business.illinois.edu/bcs/	True	
11704	1B1-KM-KM0-847	IT Partners Gies Business	Information Technology Partners at Gies Business	Information Technology Partners at Gies Business	IT Partners Gies Business	Chris Tidrick	3044 Bus Inst. Facility - BIF	515 E. Gregory	706	1206	Champaign	IL	61820	217	244-0812	ctidrick	52.0101		8	F	F	Y	1	KM	Gies College of Business	B1	KM0	847	https://inside.giesbusiness.illinois.edu/admin-units/it-partners	True	
11705	1B1-KM-KM0-346	Accountancy	Department of Accountancy	Department of Accountancy	Accountancy, Department of	Michael Donohoe	360 Wohlers	1206 S. Sixth Street	706	159	Champaign	IL	61820	217	333-0857	mdonohoe	52.0301		1	F	F	Y	1	KM	Gies College of Business	B1	KM0	346	https://giesbusiness.illinois.edu/accountancy/	True	
11706	1B1-KM-KM0-230	MBA Program Administration	Regular Masters of Business Administration Program Administration	Regular Masters of Business Administration Program Administration	MBA, Regular Masters Program	Lorena Nicholas	3019 Bus Inst. Facility-BIF	515 E. Gregory	520	1206	Champaign	IL	61820	217	244-6550	lorenan	52.0101		8	F	F	Y	1	KM	Gies College of Business	B1	KM0	230	http://www.mba.illinois.edu/	True	
11708	1B1-KM-KM0-330	Gies Advancement	Gies College of Business Advancement	Gies College of Business Advancement	Business Advancement, Gies College of	Rebecca Pagels	220 Wohlers	1206 S. Sixth Street	706	159	Champaign	IL	61820	217	244-9918	rpagels	52.0101		8	F	F	Y	1	KM	Gies College of Business	B1	KM0	330		True	
11710	1B1-KM-KM0-938	Executive MBA Program	Executive Masters of Business Administration Program	Executive Masters of Business Administration Program	MBA, Executive Masters Program	Lorena Nicholas	3019 Bus Inst. Facility-BIF	515 E. Gregory	520	1206	Champaign	IL	61820	217	244-6550	lorenan	52.0101		8	F	F	Y	1	KM	Gies College of Business	B1	KM0	938	http://mbachicago.illinois.edu/	True	
11722	1B1-KM-KM0-260	Finance	Department of Finance	Department of Finance	Finance, Department of	Louis K.C. Chan	340 Wohlers	1206 S. Sixth Street	706	159	Champaign	IL	61820	217	244-2239	l-chan2	52.0801		1	F	F	Y	1	KM	Gies College of Business	B1	KM0	260	https://giesbusiness.illinois.edu/finance/	True	
11733	1B1-KM-KM0-902	Business Administration	Department of Business Administration	Department of Business Administration	Business Administration, Department of	Carlos Torelli	350 Wohlers	1206 S. Sixth Street	706	159	Champaign	IL	61820	217	265-0799	ctorelli	52.0201		1	F	F	Y	1	KM	Gies College of Business	B1	KM0	902	http://www.business.illinois.edu/ba/	True	
11735	1B1-KM-KM0-446	Bureau Economic & Business Res	Bureau of Economic and Business Research	Bureau of Economic and Business Research	Economic and Business Research, Bureau of	Mark Peecher	430 Wohlers	1206 S. Sixth Street	706	159	Champaign	IL	61820	217	333-2331	peecher	90.5206		3	F	T	Y	1	KM	Gies College of Business	B1	KM0	446	https://giesbusiness.illinois.edu/faculty-research/research-at-gies/	True	
11740	1B1-KM-KM0-469	Executive Development Ctr	Executive Development Center	Executive Development Center	Executive Development Center	Shelley Campbell	260 Wohlers	1206 S. Sixth Street	706	159	Champaign	IL	61820	217	244-3309	scampbe2	90.5202		3	F	F	Y	1	KM	Gies College of Business	B1	KM0	469	https://giesbusiness.directory.illinois.edu	True	
12001	1B1-KN-KN0-335	Education Administration	College of Education Administration	College of Education	Education, College of	Chrystalla Mouza	38 Education	1310 S. Sixth	708	160	Champaign	IL	61820-6925	217	333-0960	cmouza	13.0101		2	T	F	Y	1	KN	Education	B1	KN0	335	http://education.illinois.edu/	True	
12002	1B1-KN-KN0-617	Education General Expen	College of Education General Expenses	College of Education General Expenses	College of Education General Expenses	Chrystalla Mouza	38 Education	1310 S. Sixth	708	160	Champaign	IL	61820-6925	217	333-0960	cmouza	13.0101		9	F	T	Y	1	KN	Education	B1	KN0	617	http://education.illinois.edu/	False	
12014	1B1-KN-KN0-616	Educational Psychology	Department of Educational Psychology	Department of Educational Psychology	Educational Psychology, Department of	Helen Neville	210 Education	1310 S. Sixth	708	160	Champaign	IL	61820-6925	217	333-2245	hneville	42.2806		1	F	F	Y	1	KN	Education	B1	KN0	616	http://education.illinois.edu/EDPSY/	True	
12020	1B1-KN-KN0-613	Curriculum and Instruction	Department of Curriculum and Instruction	Department of Curriculum and Instruction	Curriculum and Instruction, Department of	Joshua Danish	311 Education	1310 S. Sixth	708	160	Champaign	IL	61820-6925	217	244-8286	jdanish	13.0301		1	F	F	Y	1	KN	Education	B1	KN0	613	http://www.education.illinois.edu/ci/	True	
12035	1B1-KN-KN0-570	Special Education	Department of Special Education	Department of Special Education	Special Education, Department of	Matthew Lambert	288 Education	1310 S. Sixth	708	160	Champaign	IL	61820-6925	217	333-0260	matt5	13.1001		1	F	F	Y	1	KN	Education	B1	KN0	570	http://education.illinois.edu/SPED/	True	
12040	1B1-KN-KN0-760	Educ Policy, Orgzn & Leadrshp	Education Policy, Organization and Leadership	Department of Education Policy, Organization and Leadership	Education Policy, Organization and Leadership, Department of	Lorenzo Baber	351 Education	1310 S. Sixth	708	160	Champaign	IL	61820-6925	217	244-3542	ldbaber	13.0401	Interim	1	F	F	Y	1	KN	Education	B1	KN0	760	https://education.illinois.edu/epol	True	
12050	1B1-KN-KN0-418	Bureau Educational Research	Bureau of Educational Research	Bureau of Educational Research	Bureau of Educational Research	Robb Lindgren	158 Children's Research Center	 2202 Kirk Drive			Champaign	IL	61820-6925	217	300-5515	robblind	13.9999		3	F	F	Y	1	KN	Education	B1	KN0	418	https://education.illinois.edu/research/bureau-of-educational-research	True	
12062	1B1-KN-KN0-676	Center for Study of Reading	Center for the Study of Reading	Center for the Study of Reading	Study of Reading, Center for	Richard C. Anderson	51 Gerty Drive		670	75	Champaign	IL	61820-7453	217	333-4437	csrrca	90.1313		3	F	F	Y	1	KN	Education	B1	KN0	676	http://csr.education.illinois.edu/	True	
12080	1B1-KN-KN0-541	Council Teacher Ed Admin	Council on Teacher Education	Council on Teacher Education	Council on Teacher Education	Jill Donnel	Suite 130	1310 S. Sixth	708	160	Champaign	IL	61820	217	333-2804	jilldonn	13.1399		S	F	F	Y	1	KN	Education	B1	KN0	541	http://www.cote.illinois.edu/	True	
12201	1B1-KP-KP0-227	Engineering Administration	Grainger Engineering Administration	Grainger College of Engineering	Engineering, Grainger College of	Rashid Bashir	306 Engineering Hall	1308 W. Green	266	15	Urbana	IL	61801-2986	217	333-2151	rbashir	14.0101		2	T	F	Y	1	KP	Grainger Engineering	B1	KP0	227	https://grainger.illinois.edu/	True	
12202	1B1-KP-KP0-602	Engineering General Expen	Grainger Engineering General Expenses	Grainger Engineering General Expenses	Engineering - General Expense, Grainger College of	Rashid Bashir	306 Engineering Hall	1308 W. Green	266	15	Urbana	IL	61801-2986	217	333-2150	rbashir	14.0101		8	F	T	Y	1	KP	Grainger Engineering	B1	KP0	602	https://grainger.illinois.edu/	False	
12204	1B1-KP-KP0-487	Micro and Nanotechnology Lab	Micro and Nanotechnology Laboratory	Micro and Nanotechnology Laboratory	Micro and Nanotechnology Lab	Minjoo Lawrence Lee	208 N. Wright		249	237	Urbana	IL	61801-2355	217	333-3097	mllee	90.1410	Interim	3	F	F	Y	1	KP	Grainger Engineering	B1	KP0	487	https://mntl.illinois.edu/	True	
12205	1B1-KP-KP0-615	Aerospace Engineering	Department of Aerospace Engineering	Department of Aerospace Engineering	Aerospace Engineering, Department of	Jonathan Freund	306F Talbot Lab	104 S. Wright	236	13	Urbana	IL	61801-2958	217	333-2651	jbfreund	14.0201		1	F	F	Y	1	KP	Grainger Engineering	B1	KP0	615	http://aerospace.illinois.edu/	True	
12207	1B1-KP-KP0-343	Bioengineering	Department of Bioengineering	Department of Bioengineering	Bioengineering, Department of	Mark A. Anastasio	1102 Everitt Lab	1406 W. Green St.	278	27	Urbana	IL	61801-2910	217	333-1867	maa	14.0501		1	F	F	Y	1	KP	Grainger Engineering	B1	KP0	343	http://bioengineering.illinois.edu/	True	
12216	1B1-KP-KP0-246	Computational Science & Engr	Computational Science and Engineering	Computational Science and Engineering	Computational Science and Engineering	Luke Olson	2102 NCSA	1205 W. Clark St.	257	564	Urbana	IL	61801-2910	217	333-3247	lukeo	30.9999		8	F	F	Y	1	KP	Grainger Engineering	B1	KP0	246	http://cse.illinois.edu/	True	
12217	1B1-KP-KP1-434	Siebel School Comp & Data Sci	Siebel School of Computing and Data Science	Siebel School of Computing and Data Science	Siebel School of Computing and Data Science	Nancy Amato	201 N. Goodwin		258	563	Urbana	IL	61801-2302	217	333-4428	namato	11.0701		1	F	T	Y	1	KP	Grainger Engineering	B1	KP1	434	https://siebelschool.illinois.edu/	True	
12220	1B1-KP-KP0-251	Civil & Environmental Eng	Department of Civil and Environmental Engineering	Department of Civil and Environmental Engineering	Civil and Environmental Engineering, Department of	Jeremy Guest	1114 Newmark Civil Engr	205 N. Mathews	250	24	Urbana	IL	61801-2350	217	333-8038	jsguest	14.0801		1	F	F	Y	1	KP	Grainger Engineering	B1	KP0	251	http://cee.illinois.edu/	True	
12222	1B1-KP-KP0-239	Coordinated Science Lab	Coordinated Science Lab	Coordinated Science Lab	Coordinated Science Lab	Naresh Shanbhag	256 Coordinated Science Lab	1308 W. Main	228	148	Urbana	IL	61801-2307	217	333-2510	shanbhag	90.3099		3	F	F	Y	1	KP	Grainger Engineering	B1	KP0	239	http://csl.illinois.edu/	True	
12225	1B1-KP-KP0-933	Electrical & Computer Eng	Department of Electrical and Computer Engineering	Department of Electrical and Computer Engineering	Electrical and Computer Engineering, Department of	Jennifer Bernhard	2120 Elec & Comput	306 N. Wright St.	702	409	Urbana	IL	61801-2991	217	333-2300	jbernhar	14.1001		1	F	F	Y	1	KP	Grainger Engineering	B1	KP0	933	http://ece.illinois.edu/	True	
12228	1B1-KP-KP0-545	Engineering Courses	Grainger Engineering Courses	Grainger Engineering Courses	Grainger Engineering Courses	Rashid Bashir	106 Engineering Hall	1308 W. Green	266	15	Urbana	IL	61801-2986	217	333-2150	rbashir	14.9999		7	F	T	Y	1	KP	Grainger Engineering	B1	KP0	545	https://grainger.illinois.edu/	False	
12229	1B1-KP-KP0-697	Engineering Honors	Grainger Engineering Honors Courses	Grainger Engineering Honors Courses	Grainger Engineering Honors Courses	Rashid Bashir	306 Engineering Hall	1308 W. Green	266	15	Urbana	IL	61801-2986	217	333-2150	rbashir	14.0101		7	F	T	Y	1	KP	Grainger Engineering	B1	KP0	697	https://wiki.engr.illinois.edu/display/engrjames/Home	False	
12230	1B1-KP-KP0-422	Industrial&Enterprise Sys Eng	Department of Industrial and Enterprise Systems Engineering	Department of Industrial and Enterprise Systems Engineering	Industrial and Enterprise Systems Engineering, Department of	Jeff Shamma	117 Transportation Bldg	104 S. Mathews	238	42	Urbana	IL	61801-2925	217	333-2731	jshamma	14.0101		1	F	F	Y	1	KP	Grainger Engineering	B1	KP0	422	http://www.ise.illinois.edu/	True	
12231	1B1-KP-KP0-204	Manufacturing Engineering	Manufacturing Engineering	Manufacturing Engineering	Manufacturing Engineering	Shiv G. Kapoor	361 CSRL	1308 W. Main	231	148	Urbana	IL	61801-2307	217	333-3432	sgkapoor	14.1701		8	F	F	Y	1	KP	Grainger Engineering	B1	KP0	204	http://ise.illinois.edu/	True	
12234	1B1-KP-KP0-220	Materials Research Lab	Materials Research Laboratory	Materials Research Laboratory	Materials Research Laboratory	Paul Braun	2015 Materials Res. Lab	104 S. Goodwin	230	66	Urbana	IL	61801-2902	217	333-1370	pbraun	90.1432		3	F	F	Y	1	KP	Grainger Engineering	B1	KP0	220	http://mrl.illinois.edu/	True	
